id,pause-vcd-switches,pause_portion,vcd_portion
75256-000,6.0,0.8677685950413223,0.1322314049586777
75256-001,2.0,0.927536231884058,0.07246376811594203
75256-002,6.0,0.5466666666666666,0.4533333333333333
75256-003,20.0,0.5590062111801242,0.4409937888198758
75256-004,2.0,0.3300970873786408,0.6699029126213593
76373-000,10.0,0.6288659793814433,0.3711340206185567
76373-001,6.0,0.9084821428571429,0.09151785714285714
76373-002,3.0,0.6477272727272727,0.3522727272727273
76373-003,6.0,0.7307692307692307,0.2692307692307692
76373-004,9.0,0.7474048442906575,0.25259515570934254
76373-005,0.0,0.0,1.0
78080-000,20.0,0.7736549165120594,0.22634508348794063
78080-001,10.0,0.6676056338028169,0.3323943661971831
78080-002,3.0,0.3728813559322034,0.6271186440677966
78080-003,3.0,0.7592592592592593,0.24074074074074073
78080-004,9.0,0.5748373101952278,0.42516268980477223
78080-005,11.0,0.5283842794759825,0.47161572052401746
78080-006,4.0,0.6122448979591837,0.3877551020408163
80292-000,2.0,0.9409722222222222,0.059027777777777776
80292-001,2.0,0.7758620689655172,0.22413793103448276
80292-002,6.0,0.8260869565217391,0.17391304347826086
80292-003,6.0,0.7217741935483871,0.2782258064516129
80292-004,6.0,0.5078125,0.4921875
80292-005,2.0,0.8481012658227848,0.1518987341772152
80292-006,2.0,0.46938775510204084,0.5306122448979592
80292-007,2.0,0.42857142857142855,0.5714285714285714
80292-008,2.0,0.9491525423728814,0.05084745762711865
81392-000,5.0,0.2862903225806452,0.7137096774193549
81392-001,1.0,0.014492753623188406,0.9855072463768116
81392-002,0.0,0.0,1.0
81392-003,1.0,0.08823529411764706,0.9117647058823529
81392-004,10.0,0.2949640287769784,0.7050359712230215
81392-005,9.0,0.4664804469273743,0.5335195530726257
81392-006,10.0,0.47619047619047616,0.5238095238095238
81392-007,22.0,0.3768996960486322,0.6231003039513677
81392-008,28.0,0.34153005464480873,0.6584699453551912
81392-009,2.0,0.07446808510638298,0.925531914893617
81392-010,4.0,0.16981132075471697,0.8301886792452831
81392-011,15.0,0.479933110367893,0.520066889632107
81392-012,9.0,0.6475409836065574,0.3524590163934426
81392-013,19.0,0.3333333333333333,0.6666666666666666
81392-014,10.0,0.44423791821561337,0.5557620817843866
81392-015,1.0,0.030612244897959183,0.9693877551020408
81392-016,1.0,0.41025641025641024,0.5897435897435898
81392-017,2.0,0.08108108108108109,0.918918918918919
81392-018,27.0,0.5227686703096539,0.4772313296903461
81392-019,32.0,0.5485799701046338,0.4514200298953662
81392-020,18.0,0.5525059665871122,0.44749403341288785
81392-021,28.0,0.6160714285714286,0.38392857142857145
81392-022,11.0,0.5463320463320464,0.45366795366795365
81392-023,9.0,0.553072625698324,0.44692737430167595
81392-024,6.0,0.3351063829787234,0.6648936170212766
81392-025,8.0,0.3323170731707317,0.6676829268292683
81392-026,7.0,0.30861244019138756,0.6913875598086124
81392-027,9.0,0.2610062893081761,0.7389937106918238
81392-028,24.0,0.34974093264248707,0.6502590673575129
81392-029,14.0,0.5163934426229508,0.48360655737704916
81392-030,9.0,0.4844961240310077,0.5155038759689923
81392-031,4.0,0.2608695652173913,0.7391304347826086
81392-032,2.0,0.16326530612244897,0.8367346938775511
81392-033,14.0,0.5131004366812227,0.4868995633187773
81392-034,5.0,0.30303030303030304,0.696969696969697
81392-035,36.0,0.4664391353811149,0.5335608646188851
81392-036,14.0,0.4944237918215613,0.5055762081784386
81392-037,5.0,0.5657894736842105,0.4342105263157895
81392-038,19.0,0.5959051724137931,0.4040948275862069
81392-039,6.0,0.4797979797979798,0.5202020202020202
81392-040,9.0,0.35054347826086957,0.6494565217391305
81392-041,34.0,0.5868700265251989,0.41312997347480107
81392-042,47.0,0.3104517271922055,0.6895482728077945
82975-000,7.0,0.4627659574468085,0.5372340425531915
82975-001,2.0,0.847457627118644,0.15254237288135594
82975-002,5.0,0.3515625,0.6484375
82975-003,4.0,0.11688311688311688,0.8831168831168831
82975-004,6.0,0.2222222222222222,0.7777777777777778
82975-005,3.0,0.11224489795918367,0.8877551020408163
82975-006,3.0,0.6012658227848101,0.3987341772151899
82975-007,0.0,0.0,1.0
82975-008,1.0,0.014705882352941176,0.9852941176470589
82975-009,3.0,0.4453125,0.5546875
82975-010,1.0,0.32142857142857145,0.6785714285714286
87083-000,9.0,0.42857142857142855,0.5714285714285714
87083-001,9.0,0.27824267782426776,0.7217573221757322
87083-002,9.0,0.19451073985680192,0.8054892601431981
87083-003,2.0,0.06711409395973154,0.9328859060402684
87083-004,11.0,0.24125874125874125,0.7587412587412588
87083-005,2.0,0.25,0.75
87083-006,3.0,0.5945945945945946,0.40540540540540543
87083-007,10.0,0.2904929577464789,0.7095070422535211
87083-008,3.0,0.25961538461538464,0.7403846153846154
87083-009,4.0,0.5,0.5
87083-010,8.0,0.14225941422594143,0.8577405857740585
87083-011,2.0,0.7191011235955056,0.2808988764044944
87083-012,1.0,0.12962962962962962,0.8703703703703703
87083-013,4.0,0.5454545454545454,0.45454545454545453
87083-014,8.0,0.4329608938547486,0.5670391061452514
87083-015,2.0,0.3235294117647059,0.6764705882352942
87083-016,8.0,0.296875,0.703125
87083-017,0.0,0.0,1.0
87083-018,6.0,0.2706422018348624,0.7293577981651376
87083-019,6.0,0.5179856115107914,0.48201438848920863
87083-020,6.0,0.12403100775193798,0.875968992248062
87083-021,0.0,0.0,1.0
87083-022,3.0,0.42045454545454547,0.5795454545454546
87083-023,6.0,0.375,0.625
87083-024,4.0,0.24352331606217617,0.7564766839378239
87083-025,9.0,0.39963503649635035,0.6003649635036497
87083-026,2.0,0.003472222222222222,0.9965277777777778
87083-027,1.0,0.06060606060606061,0.9393939393939394
87083-028,10.0,0.25313807531380755,0.7468619246861925
87083-029,4.0,0.1871508379888268,0.8128491620111732
87083-030,0.0,0.0,1.0
87083-031,6.0,0.2651006711409396,0.7348993288590604
88947-000,7.0,0.7944664031620553,0.20553359683794467
88947-001,9.0,0.43656716417910446,0.5634328358208955
88947-002,2.0,0.9081632653061225,0.09183673469387756
88947-003,19.0,0.6458966565349544,0.3541033434650456
88947-004,2.0,0.5060240963855421,0.4939759036144578
88947-005,1.0,0.056818181818181816,0.9431818181818182
88947-006,1.0,0.15789473684210525,0.8421052631578947
88947-007,5.0,0.6979166666666666,0.3020833333333333
88947-008,20.0,0.3592964824120603,0.6407035175879398
88947-009,1.0,0.6724137931034483,0.3275862068965517
88947-010,3.0,0.3698630136986301,0.6301369863013698
91117-000,4.0,0.7359550561797753,0.2640449438202247
91117-001,10.0,0.5462184873949579,0.453781512605042
91117-002,8.0,0.4158415841584158,0.5841584158415841
91117-003,1.0,0.625,0.375
91117-004,4.0,0.5168539325842697,0.48314606741573035
91117-005,0.0,0.0,1.0
91117-006,0.0,0.0,1.0
95407-000,8.0,0.5531496062992126,0.4468503937007874
95407-001,3.0,0.23648648648648649,0.7635135135135135
95407-002,2.0,0.5625,0.4375
95407-003,1.0,0.4126984126984127,0.5873015873015873
95407-004,50.0,0.6620973269362577,0.3379026730637423
95407-005,14.0,0.6232394366197183,0.3767605633802817
95407-006,2.0,0.6811594202898551,0.3188405797101449
95465-000,5.0,0.35919540229885055,0.6408045977011494
95465-001,2.0,0.28125,0.71875
95465-002,2.0,0.609375,0.390625
95465-003,3.0,0.3202247191011236,0.6797752808988764
95465-004,6.0,0.6596638655462185,0.3403361344537815
95465-005,23.0,0.5126903553299492,0.4873096446700508
95465-006,5.0,0.2911392405063291,0.7088607594936709
95465-007,18.0,0.5068027210884354,0.4931972789115646
95465-008,2.0,0.5625,0.4375
95465-009,9.0,0.2329059829059829,0.7670940170940171
95465-010,30.0,0.3546042003231018,0.6453957996768982
95465-011,5.0,0.4418604651162791,0.5581395348837209
95465-012,2.0,0.0423728813559322,0.9576271186440678
95465-013,1.0,0.1693548387096774,0.8306451612903226
95465-014,8.0,0.35798816568047337,0.6420118343195266
