# gunzip -c /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set6/exp/mono_ali_clinician/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set6/exp/mono_ali_clinician/graph 
# Started at Mon Jan 28 18:56:14 EST 2019
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 75.0% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 50.0% of the time at utterance end.  This may not be optimal.
At utterance begin, sil accounts for 75.0% of phone occurrences, with duration (median, mean, 95-percentile) is (24,51.7,106) frames.
Overall, t_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.5,17) frames.
Overall, ah_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.8,11) frames.
Overall, dh_B accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,13.6,23) frames.
Overall, iy_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,6) frames.
Overall, k_B accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,10) frames.
Overall, iy_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.0,20) frames.
Overall, r_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,12) frames.
Overall, z_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.2,15) frames.
Overall, ae_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.3,16) frames.
Overall, ao_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,8) frames.
Overall, ay_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,9.0,11) frames.
Overall, d_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.7,8) frames.
Overall, eh_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,19.0,20) frames.
Overall, n_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.3,16) frames.
Overall, n_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,11.3,5) frames.
Overall, s_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,15.3,15) frames.
Overall, ay_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (38,40.5,38) frames.
Overall, d_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,9.0,3) frames.
Overall, f_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.5,13) frames.
Overall, g_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,10.0,4) frames.
Overall, k_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.5,14) frames.
Overall, l_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.5,9) frames.
Overall, l_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.5,9) frames.
Overall, t_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,11.0,3) frames.
The optional-silence phone sil occupies 28.3% of frames overall 
Limiting the stats to the 85.6% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 18.8% of frames.
Assuming 100 frames per second, the alignments represent 0.0 hours of data, or 0.0 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 5.9% of utterance-internal phones, with duration (median, mean, 95-percentile) = (32,43.1,80)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Jan 28 18:56:14 EST 2019, elapsed time 0 seconds
